BernieSanders;2016-02-09 16:15;1291;2450;"Health care is recognized as a right for every man, woman, and child. #NHPrimary pic.twitter.com/4YlR92sFrl";;;#NHPrimary;"697181978085314560";https://twitter.com/BernieSanders/status/697181978085314560
BernieSanders;2016-02-09 16:12;1429;2503;"Students are graduating college without the crushing debt. #NHPrimary pic.twitter.com/sU1V0gRKXw";;;#NHPrimary;"697181375263305728";https://twitter.com/BernieSanders/status/697181375263305728
BernieSanders;2016-02-09 16:12;2706;6524;"I want you to imagine eight years from now: The minimum wage is a living wage. #NHPrimary pic.twitter.com/woJCvLRV6N";;;#NHPrimary;"697181214717902848";https://twitter.com/BernieSanders/status/697181214717902848
BernieSanders;2016-02-09 16:05;981;2669;"New Hampshire, by voting today, you'll say loudly and clearly: this country belongs to all of us, not just the billionaire class. #NHPrimary";;;#NHPrimary;"697179505685884928";https://twitter.com/BernieSanders/status/697179505685884928
BernieSanders;2016-02-09 13:58;1211;2559;"Voting for Bernie in the #NHPrimary ? Use #iVoted and share this image! pic.twitter.com/Swv2Kxocgt";;;#NHPrimary #iVoted;"697147678589743104";https://twitter.com/BernieSanders/status/697147678589743104
BernieSanders;2016-02-09 11:37;1940;4141;""I'm Ben. And, I'm Jerry. I'm a person. And I'm a person. Ben & Jerry's, not a person. Go out and vote today!" https:// amp.twimg.com/v/f280ed01-af3 d-40e5-8df7-e23b7f3a9fc9 …";;;;"697112036522602497";https://twitter.com/BernieSanders/status/697112036522602497
BernieSanders;2016-02-09 09:49;1312;3256;"It is insane that low-wage workers for companies like McDonald’s must work when they are sick just because they can’t afford to stay home.";;;;"697084803871408129";https://twitter.com/BernieSanders/status/697084803871408129
BernieSanders;2016-02-09 08:48;1310;3910;"Our volunteers are up bright and early making sure folks remember to vote for the New Hampshire primary! pic.twitter.com/yxT8F87eIk";;;;"697069652535615488";https://twitter.com/BernieSanders/status/697069652535615488
BernieSanders;2016-02-09 08:03;2617;6343;"New Hampshire, if turnout is high today, I believe we will win. I urge you to come out and vote today. Thank you.";;;;"697058246981459969";https://twitter.com/BernieSanders/status/697058246981459969
BernieSanders;2016-02-08 23:44;1661;4857;"Honored to have the unanimous support of the people of Dixville Notch. First votes cast in the #FITN .";;;#FITN;"696932568890007553";https://twitter.com/BernieSanders/status/696932568890007553
BernieSanders;2016-02-08 20:44;1510;3507;"We are the only advanced economy that doesn’t guarantee its workers some form of paid family leave, paid sick leave or paid vacation time.";;;;"696887258754908160";https://twitter.com/BernieSanders/status/696887258754908160
BernieSanders;2016-02-08 19:53;1501;4079;"This is a people's campaign. pic.twitter.com/iy45wvALPX";;;;"696874540182433792";https://twitter.com/BernieSanders/status/696874540182433792
BernieSanders;2016-02-08 18:17;1077;2772;"Fraud is the business model on Wall Street. pic.twitter.com/sohtAZbtJ6";;;;"696850309650448384";https://twitter.com/BernieSanders/status/696850309650448384
BernieSanders;2016-02-08 17:09;1392;3331;"We must increase the min. wage to $15, which will increase the wages of nearly 60 percent of Latinos. #VoteTogether pic.twitter.com/1NrLAgjol8";;;#VoteTogether;"696833226384543745";https://twitter.com/BernieSanders/status/696833226384543745
BernieSanders;2016-02-08 14:48;4538;7745;"If there is a high turnout tomorrow, I think we are going to win. I urge you all: come out and vote. #VoteTogether https:// amp.twimg.com/v/1113f33c-954 f-420b-a3c3-9bae07996c9a …";;;#VoteTogether;"696797800462360576";https://twitter.com/BernieSanders/status/696797800462360576
BernieSanders;2016-02-08 13:39;1850;3611;"To those who want to divide us up: We’re not gonna hate Latinos. We’re not gonna hate Muslims. We are going to stand TOGETHER. #VoteTogether";;;#VoteTogether;"696780371124449280";https://twitter.com/BernieSanders/status/696780371124449280
BernieSanders;2016-02-08 13:34;1042;2357;"Our job is not to divide. Our job is to bring people together. #VoteTogether pic.twitter.com/QmjkTW7TMt";;;#VoteTogether;"696779143665602560";https://twitter.com/BernieSanders/status/696779143665602560
BernieSanders;2016-02-08 13:23;1070;2239;"Together we will address the real issues facing our nation, not allow them to divide us. #VoteTogether pic.twitter.com/JyCFAFuhfX";;;#VoteTogether;"696776464679596032";https://twitter.com/BernieSanders/status/696776464679596032
BernieSanders;2016-02-08 13:07;1179;2619;"Standing together, we will create the grassroots political revolution that this country needs. #VoteTogether pic.twitter.com/Jho0aX07VP";;;#VoteTogether;"696772253384646656";https://twitter.com/BernieSanders/status/696772253384646656
BernieSanders;2016-02-08 09:48;1492;2251;"We have come a long way in New Hampshire. Please come out to vote tomorrow tonight. http:// berniesanders.com/NHVotes pic.twitter.com/qGv7WXPDTC";;;;"696722175705817088";https://twitter.com/BernieSanders/status/696722175705817088
BernieSanders;2016-02-07 14:37;5660;12210;"I’m not running for president because it’s my turn, but because it’s everyone's turn to live in a nation of hope and opportunity for all.";;;;"696432498541113344";https://twitter.com/BernieSanders/status/696432498541113344
BernieSanders;2016-02-07 12:02;1981;3244;"African-Americans are twice as likely to be arrested and almost four times as likely to experience use of force during police encounters.";;;;"696393496769359874";https://twitter.com/BernieSanders/status/696393496769359874
BernieSanders;2016-02-07 10:30;2131;4137;"If you want at least four more years of Larry David on @NBCSNL , vote for Bernie! #BernieOnSNL https://www. youtube.com/watch?v=nn4tP7 ogWIA&feature=youtu.be …";;@NBCSNL;#BernieOnSNL;"696370513803919364";https://twitter.com/BernieSanders/status/696370513803919364
BernieSanders;2016-02-06 23:09;1343;3324;""Things in New Hampshire are pretty, pretty, pretty good!" Help us win: http:// BernieSanders.com/WIN #BernieOnSNL";;;#BernieOnSNL;"696199193015222272";https://twitter.com/BernieSanders/status/696199193015222272
BernieSanders;2016-02-06 22:35;1454;3328;"Live from New York it's Saturday Night! #BernieOnSNL http:// berniesanders.com/pennies";;;#BernieOnSNL;"696190448054833152";https://twitter.com/BernieSanders/status/696190448054833152
BernieSanders;2016-02-06 21:30;6934;13516;"What did I think of the #GOPDebate ? Not good enough. Watch @nbcsnl instead. https:// vine.co/v/i1qOtTW5W1r";;@nbcsnl;#GOPDebate;"696174056320737280";https://twitter.com/BernieSanders/status/696174056320737280
BernieSanders;2016-02-06 17:47;1333;3885;"These are just a few of the women leading our political revolution in New Hampshire. #FITN pic.twitter.com/d29Hgzbzbd";;;#FITN;"696117984218255360";https://twitter.com/BernieSanders/status/696117984218255360
BernieSanders;2016-02-06 11:23;1564;3234;"Millions of Americans lost their jobs, homes and life savings because of a handful of people on Wall Street. #FITN pic.twitter.com/j9sQoj0EsU";;;#FITN;"696021393230712832";https://twitter.com/BernieSanders/status/696021393230712832
BernieSanders;2016-02-06 08:31;1404;2777;"Executives for coal and gas companies have blocked every attempt to act on climate change and have bought the loyalty of elected officials.";;;;"695978079995334661";https://twitter.com/BernieSanders/status/695978079995334661
BernieSanders;2016-02-05 20:04;1482;3498;"Remember: this government belongs to all of us, not just a few wealthy campaign donors. #NHDems2016 pic.twitter.com/wPeAYwWjUl";;;#NHDems2016;"695790087183998976";https://twitter.com/BernieSanders/status/695790087183998976
BernieSanders;2016-02-05 19:51;1317;3306;"To big pharma we say loud and clear: your days of raising drug prices off the charts are over. #NHdems2016 pic.twitter.com/RJ4h0TQO8D";;;#NHdems2016;"695786914155094016";https://twitter.com/BernieSanders/status/695786914155094016
